product,rating,price,product url
"Germ Guardian Air Purifier for Home, Bedroom, Office, H13 HEPA Filter, Removes Dust, Allergens, Smoke, Pollen, Odors, Mold, UV-C Light Helps Kill Germs, 22 Inch, Dark Gray, AC4285E  ",4.7 out of 5 stars,99.99,https://amazon.com/GermGuardian-AC4825-Sanitizer-Allergens-Guardian/dp/B004VGIGVY/ref=sr_1_29?keywords=air+purifier&qid=1669257579&sr=8-29
"Keylitos HEPA Filter Air Purifier for Home Office Large Room up to 560ft², H13 HEPA Quiet Air Filter Cleaner for Odor Eliminator, Eliminates Germs, Filters Allergies, Pollen, Smoke, Dust Pet Dander  ",4.5 out of 5 stars,69.99,https://amazon.com/Keylitos-Purifier-Eliminator-Eliminates-Allergies/dp/B0982QRLXG/ref=sr_1_30?keywords=air+purifier&qid=1669257579&sr=8-30
"Molekule - Air Mini+ - FDA-Cleared Medical Air Purifier with Particle Sensor and PECO Technology for Smoke, Allergens, Pollutants, Viruses, Bacteria, and Mold- 250 sq. ft.  ",4.2 out of 5 stars,370.75,https://amazon.com/Molekule-Purifier-Technology-Allergens-Pollutants/dp/B086DG1Y3M/ref=sr_1_31?keywords=air+purifier&qid=1669257579&sr=8-31
"Medify MA-50 Air Purifier with H13 True HEPA Filter with UV | 1100 sq ft Coverage | for Wildfire Smoke, Dust, Odors, Pollen, Pet Dander | Quiet 99.9% Removal to 0.1 Microns | White, 1-Pack  ",4.6 out of 5 stars,324.99,https://amazon.com/Medify-MA-50-Air-Purifier-filter/dp/B08S2Y6CTX/ref=sr_1_32?keywords=air+purifier&qid=1669257579&sr=8-32
"LEVOIT Air Purifiers for Bedroom Home, HEPA Filter Cleaner with Fragrance Sponge for Better Sleep, Filters Smoke, Allergies, Pet Dander, Odor, Dust, Office, Desktop, Portable, Core Mini, White  ",4.6 out of 5 stars,47.07,https://amazon.com/LEVOIT-Purifiers-Freshener-Core-Mini/dp/B09GTRVJQM/ref=sr_1_33?keywords=air+purifier&qid=1669257579&sr=8-33
"Air Purifier for Large Room, H13 HEPA Air Filter Cleaner for Bedroom, Covers up to 1000 sq ft, Auto whole Home Air Purifier Cleaner, Quiet Room Air Filters  ",4.5 out of 5 stars,169.99,https://amazon.com/Purifier-Filter-Cleaner-Bedroom-Filters/dp/B09RWJSR3H/ref=sr_1_34?keywords=air+purifier&qid=1669257579&sr=8-34
"Gocheer Air Purifier for Extra Large Room with H13 True HEPA Filter 2,500 Sq ft Coverage Smart Air Cleaner for Home Eliminate Smoke Dust Pollen Mold Pet Dander Allergens Gases  ",4.6 out of 5 stars,599.99,https://amazon.com/Gocheer-Purifier-Coverage-Eliminate-Allergens/dp/B0B3DRHQGJ/ref=sr_1_35?keywords=air+purifier&qid=1669257579&sr=8-35
"Air Purifiers for Home Large Room Up to 1076 Ft², Smart WiFi& Bluetooth H13 HEPA Air Purifiers for Bedroom 22 dB, Air Purify Filter Cleaners for Pets Odor Smoke Dust Mold Pollen, Compatible with Alexa  ",4.6 out of 5 stars,119.99,https://amazon.com/Purifiers-Bluetooth-Bedroom-Purify-Cleaners/dp/B09P8KBW5V/ref=sr_1_36?keywords=air+purifier&qid=1669257579&sr=8-36
"Air Purifier, Home Air Purifiers For Large Room Up To 1620 sq.ft, VEWIOR H13 True HEPA Air Filter With 5 Timer Settings 3 Fan Speeds, Ultra-Quiet Air Cleaner For Pets Dander Hair Smoke Smell Pollen  ",4.3 out of 5 stars,139.87,https://amazon.com/sspa/click?ie=UTF8&spc=MToxNDIwNjcxMzYwMTI4MTUxOjE2NjkyNTc1Nzk6c3BfYnRmOjIwMDA2ODMwNjE3NDk5ODo6MDo6&url=%2FPurifier-Purifiers-VEWIOR-Settings-Ultra-Quiet%2Fdp%2FB0B41Z7B6H%2Fref%3Dsr_1_37_sspa%3Fkeywords%3Dair%2Bpurifier%26qid%3D1669257579%26sr%3D8-37-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1%26smid%3DA2WYGMPFFUQ7CD
"HATHASPACE Smart Air Purifier for Home, Bedroom, with True HEPA Air Filter for Allergens, Pets, Smoke, Quiet Air Cleaner, Removes 99.9% of Dust, Mold, Pet Dander, Odors, Pollen - HSP001 - 700 Sq. Ft. Coverage  ",4.6 out of 5 stars,229.99,https://amazon.com/sspa/click?ie=UTF8&spc=MToxNDIwNjcxMzYwMTI4MTUxOjE2NjkyNTc1Nzk6c3BfYnRmOjIwMDAzNjc4MTc5NjQ5ODo6MDo6&url=%2FHathaspace-Purifier-Cleaner-Deodorizer-Allergies%2Fdp%2FB075ZZND8B%2Fref%3Dsr_1_38_sspa%3Fkeywords%3Dair%2Bpurifier%26qid%3D1669257579%26sr%3D8-38-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"Air Purifiers for Home Large Room Up to 1076 Ft², Smart WiFi& Bluetooth H13 HEPA Air Purifiers for Bedroom 22 dB, Air Purify Filter Cleaners for Pets Odor Smoke Dust Mold Pollen, Compatible with Alexa  ",4.6 out of 5 stars,119.99,https://amazon.com/sspa/click?ie=UTF8&spc=MTo1MTkxNjkwNjcxNDgwMzQ1OjE2NjkyNTc1ODI6c3BfYXRmX25leHQ6MjAwMDg3Nzk2OTMwNTk4OjowOjo&url=%2FPurifiers-Bluetooth-Bedroom-Purify-Cleaners%2Fdp%2FB09P8KBW5V%2Fref%3Dsr_1_33_sspa%3Fkeywords%3Dair%2Bpurifier%26qid%3D1669257582%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
Rabbit Air BioGS 2.0 Ultra Quiet HEPA Air Purifier (SPA-550A White)  ,4.8 out of 5 stars,369.95,https://amazon.com/sspa/click?ie=UTF8&spc=MTo1MTkxNjkwNjcxNDgwMzQ1OjE2NjkyNTc1ODI6c3BfYXRmX25leHQ6MjAwMDEzMTQwODI1NzIxOjowOjo&url=%2FRabbitAir-BioGS-Ultra-Purifier-SPA-550A%2Fdp%2FB00GH19UU2%2Fref%3Dsr_1_34_sspa%3Fkeywords%3Dair%2Bpurifier%26qid%3D1669257582%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Air Purifiers for Bedroom, FULMINARE H13 Small Air Purifiers for Home Pets with HEPA Air Filter, Air Cleaner for Bedroom, Air Cleaner Filter Remove 99.97% Dust, Smoke, Pollen  ",4.5 out of 5 stars,39.99,https://amazon.com/Purifiers-Bedroom-FULMINARE-Filter-Cleaner/dp/B0B4ZSKPNL/ref=sr_1_35?keywords=air+purifier&qid=1669257582&sr=8-35
"Air Purifier for Large Room, H13 HEPA Air Filter Cleaner for Bedroom, Covers up to 1000 sq ft, Auto whole Home Air Purifier Cleaner, Quiet Room Air Filters  ",4.5 out of 5 stars,169.99,https://amazon.com/Purifier-Filter-Cleaner-Bedroom-Filters/dp/B09RWJSR3H/ref=sr_1_37?keywords=air+purifier&qid=1669257582&sr=8-37
"Air Purifiers for Home Large Room Up to 1076 Ft², Smart WiFi& Bluetooth H13 HEPA Air Purifiers for Bedroom 22 dB, Air Purify Filter Cleaners for Pets Odor Smoke Dust Mold Pollen, Compatible with Alexa  ",4.6 out of 5 stars,119.99,https://amazon.com/Purifiers-Bluetooth-Bedroom-Purify-Cleaners/dp/B09P8KBW5V/ref=sr_1_38?keywords=air+purifier&qid=1669257582&sr=8-38
"Air Purifiers for Home, HEPA Air Purifier with Fragrance Sponge, Ultra Quiet Air Cleaner for Bedroom, True Air Cleaner Filter for Dust, Pet Dander, Smoke, Pollen, Allergies  ",4.4 out of 5 stars,34.99,https://amazon.com/Purifiers-Purifier-Fragrance-Cleaner-Allergies/dp/B09XXBB19F/ref=sr_1_39?keywords=air+purifier&qid=1669257582&sr=8-39
"HEPA Air Purifiers for Home Bedroom, Smoke Air Cleaner with Fragrance Sponge, Lock Set, 99.9% Effective, Ultra Quiet HEPA Air Purifiers for Dust, Odor, Pet Dander  ",4.4 out of 5 stars,39.99,https://amazon.com/Purifiers-Bedroom-Cleaner-Fragrance-Effective/dp/B09C8WFYLJ/ref=sr_1_40?keywords=air+purifier&qid=1669257582&sr=8-40
"LEVOIT Air Purifiers for Home, H13 True HEPA Filter for Smoke, Dust, Mold, and Pollen in Bedroom, Ozone Free, Filtration System Odor Eliminators for Office with Optional Night Light, 1 Pack, White  ",4.6 out of 5 stars,107.99,https://amazon.com/LEVOIT-Purifiers-Filtration-Eliminators-Optional/dp/B071D58ZY5/ref=sr_1_41?keywords=air+purifier&qid=1669257582&sr=8-41
"Air Purifiers For Bedroom - Honeyuan H13 HEPA Air Purifier for Home Large Room 322 sqft, Air purifiers with 360°Air Intake, 3 Fan Speeds, 3-Stage Filtration For Pet Dander Dust Pollen Smoke  ",4.7 out of 5 stars,29.99,https://amazon.com/Air-Purifiers-Bedroom-purifiers-Filtration/dp/B0B9678Z4L/ref=sr_1_42?keywords=air+purifier&qid=1669257582&sr=8-42
"Air Purifiers, Home Air purifier for Large Room Bedroom Up to 1100ft², VEWIOR H13 True HEPA Air Filter for Pets Smoke Pollen Odor, with Air Quality Monitoring, Auto/Sleep, 6 Timer, Light, Child Lock  ",4.6 out of 5 stars,89.99,https://amazon.com/sspa/click?ie=UTF8&spc=MTo1MTkxNjkwNjcxNDgwMzQ1OjE2NjkyNTc1ODI6c3BfbXRmOjIwMDEwNTc1NDM0ODM5ODo6MDo6&url=%2FPurifiers-purifier-Bedroom-VEWIOR-Monitoring%2Fdp%2FB0B2K6X9T9%2Fref%3Dsr_1_43_sspa%3Fkeywords%3Dair%2Bpurifier%26qid%3D1669257582%26sr%3D8-43-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"MSA3 Air Purifier for Home Large Room and Bedroom with H13 True HEPA Filter, 100% Ozone Free Air Cleaner for Smokers, Pet and Allergies Remove 99.97% Allergens, Dust, Odor, Smoke, Pollen  ",4.7 out of 5 stars,99.98,https://amazon.com/sspa/click?ie=UTF8&spc=MTo1MTkxNjkwNjcxNDgwMzQ1OjE2NjkyNTc1ODI6c3BfbXRmOjIwMDA0MDc0NTY3OTQ2MTo6MDo6&url=%2FPurifier-Bedroom-Cleaner-Allergies-Allergens%2Fdp%2FB08ND7C7P4%2Fref%3Dsr_1_44_sspa%3Fkeywords%3Dair%2Bpurifier%26qid%3D1669257582%26sr%3D8-44-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Jafända Air Purifiers for Home bedroom,H13 True HEPA Coverage 450 sqft,23 dB Air cleaner with Brushless Motor,Effectively Remove Pollen Dust and Odor to Prevent Seasonal Air Diseases,Night Light  ",4.6 out of 5 stars,33.99,https://amazon.com/Jaf%C3%A4nda-Purifiers-Coverage-Brushless-Effectively/dp/B09XHKGM92/ref=sr_1_45?keywords=air+purifier&qid=1669257582&sr=8-45
"Winix 5500-2 Air Purifier with True HEPA, PlasmaWave and Odor Reducing Washable AOC Carbon Filter Medium , Charcoal Gray  ",4.7 out of 5 stars,148.01,https://amazon.com/Winix-5500-2-Purifier-PlasmaWave-Reducing/dp/B01D8DAYII/ref=sr_1_46?keywords=air+purifier&qid=1669257582&sr=8-46
